"Country.Name","Country.Code","Region","IncomeGroup","Year","Life.Expectancy.World.Bank","Prevelance.of.Undernourishment","CO2","Health.Expenditure..","Education.Expenditure..","Unemployment","Sanitation","Injuries","Communicable","NonCommunicable"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2006,69.259,2.8,30489.9997711182,2.06678391,2.55552005767822,6.61999988555908,23.68295256,235261.82,797478.5,2025824.48
"Bangladesh","BGD","South Asia","Lower middle income",2006,68.213,13.8,35900.0015258789,2.48439622,2.13128995895386,3.58999991416931,24.14787637,4365189.5,22969983.93,22933766.58
"Bulgaria","BGR","Europe & Central Asia","Upper middle income",2006,72.6121951219512,5.1,48950.0007629395,6.52544594,3.90346002578735,8.94999980926514,50.16856971,335762.48,159329.7,3128319.47
"Belarus","BLR","Europe & Central Asia","Upper middle income",2006,69.4048780487805,2.5,59119.9989318848,5.57381344,6.07696008682251,8.39999961853027,82.39375312,775312.25,212457.23,3561255.05
"Brazil","BRA","Latin America & Caribbean","Upper middle income",2006,72.26,6.2,335619.995117188,8.24952602,4.87060022354126,8.64000034332275,38.23827901,9402192.11,12313871.09,39198556.42
"Central African Republic","CAF","Sub-Saharan Africa","Low income",2006,45.158,37.7,230.000004172325,4.44105434,1.41506004333496,5.65899991989136,18.69190459,341076.46,3740319.7,827671.85
"Switzerland","CHE","Europe & Central Asia","High income",2006,81.490243902439,2.5,45479.9995422363,9.53341675,4.81757020950317,4,99.61636646,229174.52,78700.39,1746933.27
"Chile","CHL","Latin America & Caribbean","High income",2006,77.865,3.1,57150.0015258789,6.03516722,3.02152991294861,9.02000045776367,56.3840428,519250.6,294647,3027848.24
"China","CHN","East Asia & Pacific","Upper middle income",2006,73.271,6.1,6437470.21484375,3.94742227,2.44000005722046,4.42999982833862,23.71607541,43935343.39,33380484.91,284440815
"Colombia","COL","Latin America & Caribbean","Upper middle income",2006,74.5,11.4,57689.998626709,6.33551502,3.91671991348267,11.289999961853,16.15180472,2485586.81,1990757.49,6715773.67
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income",2006,78.239,3.9,6559.99994277954,6.93530893,4.61613988876343,5.73999977111816,37.39354309,121487.06,95011.04,649598.26
"Cuba","CUB","Latin America & Caribbean","Upper middle income",2006,77.864,2.5,26780.0006866455,8.2719059,9.05716991424561,1.9099999666214,39.2308363,318274.92,239484.03,2436353.47
"Cyprus","CYP","Europe & Central Asia","High income",2006,78.764,7.5,8000,5.46357489,6.3302698135376,4.53999996185303,76.33498189,27704.72,10722.69,218437
"Germany","DEU","Europe & Central Asia","High income",2006,79.1317073170732,2.5,814409.973144531,10.17961693,4.2939600944519,10.25,96.11381657,1882306.65,901905.97,22925440.76
"Djibouti","DJI","Middle East & North Africa","Lower middle income",2006,58.34,27.3,430.000007152557,3.48426819,8.27877998352051,27.5739994049072,26.52365326,36199.47,310926.56,119405.57
"Denmark","DNK","Europe & Central Asia","High income",2006,78.0951219512195,2.5,58130.0010681152,9.16879559,7.72990989685059,3.90000009536743,86.80213609,130615.24,73067.66,1479190.31
"Algeria","DZA","Middle East & North Africa","Lower middle income",2006,73.521,6.4,99809.9975585938,3.35510182,4.61999988555908,12.2700004577637,20.52313972,1344806.33,1946060.11,5829040.2
"Spain","ESP","Europe & Central Asia","High income",2006,80.8219512195122,2.5,341779.998779297,7.82912683,4.1848201751709,8.44999980926514,93.76319903,1067647.31,561039.64,10552362.09
"Ethiopia","ETH","Sub-Saharan Africa","Low income",2006,57.334,35.6,5400.00009536743,4.45757294,5.49096012115479,2.47000002861023,3.588700651,3121041.71,39064031.86,11025848.3
"Finland","FIN","Europe & Central Asia","High income",2006,79.2146341463415,2.5,67019.9966430664,8.2841177,5.92838001251221,7.71999979019165,81.53092822,218229.21,46688.18,1351687.18
"United Kingdom","GBR","Europe & Central Asia","High income",2006,79.2487804878049,2.5,542059.997558594,8.60818768,4.97325992584229,5.34999990463257,97.82428066,1247052.26,1042261.59,16160663.05
"Georgia","GEO","Europe & Central Asia","Upper middle income",2006,70.635,4,4699.99980926514,7.63208055,3.00364995002747,13.5699996948242,43.71899995,141156.11,151701.12,1374178.72
"Ghana","GHA","Sub-Saharan Africa","Lower middle income",2006,59.234,10.6,8510.00022888184,3.68296194,5.25982999801636,4.6399998664856,6.747471971,709612.71,8693272.74,3679326.51
"Hungary","HUN","Europe & Central Asia","High income",2006,73.0975609756098,2.5,55459.9990844727,7.78737354,5.28811979293823,7.48999977111816,67.85382797,435271.53,132451.42,3500406.17
"India","IND","South Asia","Lower middle income",2006,64.918,19.6,1215209.9609375,3.63477802,3.14284992218018,5.60099983215332,17.27038835,53697866.83,239547398.8,208840060.1
"Ireland","IRL","Europe & Central Asia","High income",2006,79.2414634146342,2.5,47259.9983215332,7.51655483,4.54742002487183,4.40999984741211,63.46257184,102930.17,52303.03,917982.07
"Iceland","ISL","Europe & Central Asia","High income",2006,81.1585365853659,2.5,2329.99992370605,8.55709076,7.19521999359131,2.82999992370605,54.19795186,6284.33,3179.2,58411.91
"Israel","ISR","Middle East & North Africa","High income",2006,80.5536585365854,2.5,64330.0018310547,6.9061389,5.75635004043579,10.710000038147,84.36451618,185227.82,92528.48,1266047.73
"Italy","ITA","Europe & Central Asia","High income",2006,81.2829268292683,2.5,466649.993896484,8.43673038,4.52545022964478,6.78000020980835,95.66858102,1206665.93,584433.2,15526897.29
"Jordan","JOR","Middle East & North Africa","Upper middle income",2006,72.763,5.7,20170.0000762939,7.81179047,4.65999984741211,14,76.95676665,141062.43,260620.81,856290.82
"Japan","JPN","East Asia & Pacific","High income",2006,82.3219512195122,2.5,1189520.01953125,7.68688822,3.27667999267578,4.19000005722046,75.66187689,3672187.72,1998113.35,29213268.66
"Kuwait","KWT","Middle East & North Africa","High income",2006,73.66,2.5,72430.0003051758,1.82130992,3.75997996330261,1.29999995231628,100,60969.14,47103.68,333792.21
"Lebanon","LBN","Middle East & North Africa","Lower middle income",2006,77.26,10.5,16229.9995422363,8.66051579,2.77975988388062,8.68299961090088,11.11327609,139806.1,148036.74,847543.12
"Lesotho","LSO","Sub-Saharan Africa","Lower middle income",2006,42.595,12.8,430.000007152557,6.11966419,11.2712802886963,30.4619998931885,20.27141358,152329.04,1552646.71,400777.15
"Lithuania","LTU","Europe & Central Asia","High income",2006,71.0560975609756,2.5,13020.0004577637,5.84418154,4.82572984695435,5.78000020980835,82.32002187,266425.5,69748.64,1122057.9
"Latvia","LVA","Europe & Central Asia","High income",2006,70.8658536585366,2.5,8199.99980926514,5.71834707,4.68466997146606,7.03000020980835,54.03975499,160781.01,51019.37,843468.21
"Madagascar","MDG","Sub-Saharan Africa","Low income",2006,61.65,31,1639.99998569489,5.07627583,2.83097004890442,2.93899989128113,5.627827693,495679.31,7230205.02,2996523.06
"Mexico","MEX","Latin America & Caribbean","Upper middle income",2006,75.296,4.1,448299.987792969,5.65525532,4.69992017745972,3.5699999332428,25.87350566,3741918.03,4855216.13,18553615.53
"Malaysia","MYS","East Asia & Pacific","Upper middle income",2006,73.744,3.4,174100.006103516,3.10897732,4.48576021194458,3.30999994277954,66.86934744,708623.95,986527.82,4101274.76
"Netherlands","NLD","Europe & Central Asia","High income",2006,79.6975609756098,2.5,163699.996948242,9.08058071,5.04402017593384,5,97.45222194,305859.75,220654.14,3841353.48
"Norway","NOR","Europe & Central Asia","High income",2006,80.3439024390244,2.5,37200.0007629395,7.91272211,6.3827600479126,3.40000009536743,60.5748373,121328.03,58367.73,1097042.69
"Nepal","NPL","South Asia","Lower middle income",2006,65.773,15.9,2619.99988555908,3.5361805,3.60536003112793,1.39300000667572,19.56614071,866979.25,5030978.7,4266131.01
"New Zealand","NZL","East Asia & Pacific","High income",2006,80.0487804878049,2.5,34270.0004577637,8.63841629,5.95276021957397,3.85999989509583,77.71095374,151801.66,43928.04,869432.01
"Peru","PER","Latin America & Caribbean","Upper middle income",2006,73.222,15.7,30840.0001525879,4.4095645,2.65281009674072,4.17999982833862,21.47624975,866484.38,2005769.25,3930316.65
"Philippines","PHL","East Asia & Pacific","Lower middle income",2006,69.233,13.2,69470.0012207031,3.77762771,2.42579007148743,4.05000019073486,45.2703069,2920463.51,9658675.06,15449036.17
"Poland","POL","Europe & Central Asia","High income",2006,75.1439024390244,2.5,314089.996337891,5.80280542,5.20765018463135,13.8400001525879,83.06255315,1681683.69,572152.9,10401897.29
"Portugal","PRT","Europe & Central Asia","High income",2006,78.419512195122,2.5,60450.0007629395,9.35422611,4.90767002105713,7.65000009536743,57.72654394,280951.71,211638.12,2851312.47
"Romania","ROU","Europe & Central Asia","High income",2006,72.1634146341463,2.5,99260.0021362305,5.07106066,4.30650997161865,7.26999998092651,55.27869633,879675.45,576080.34,6687418.28
"Saudi Arabia","SAU","Middle East & North Africa","High income",2006,73.355,4.5,335440.002441406,3.61922503,5.89117002487183,6.25,42.13078879,1417401.13,802372.79,3703688.83
"Senegal","SEN","Sub-Saharan Africa","Lower middle income",2006,61.365,16.5,5570.00017166138,3.76337719,3.82137989997864,10.0299997329712,16.02363923,326343.55,4042473.64,1771215.51
"Sao Tome and Principe","STP","Sub-Saharan Africa","Lower middle income",2006,65.27,9,79.9999982118607,8.27670765,4.27118015289307,16.6499996185303,19.14245417,3832.71,31177.03,26649.59
"Slovenia","SVN","Europe & Central Asia","High income",2006,78.0865853658537,2.5,16290.0009155273,7.82322741,5.59066009521484,5.94999980926514,37.72338126,101023.82,24918.69,501720.11
"Sweden","SWE","Europe & Central Asia","High income",2006,80.7487804878049,2.5,48900.0015258789,8.05226517,6.36429023742676,7.07000017166138,93.39504292,233785.13,95582.23,2265400.37
"Togo","TGO","Sub-Saharan Africa","Low income",2006,55.052,27.2,1570.00005245209,3.44604039,3.43500995635986,4.23000001907349,6.625022051,205678.3,2927679.32,858423.74
"Thailand","THA","East Asia & Pacific","Upper middle income",2006,72.499,10.6,219880.004882813,3.09970856,4.05038022994995,1.22000002861023,21.170625,3104081.9,3253751.66,12477351.36
"Tunisia","TUN","Middle East & North Africa","Lower middle income",2006,74.391,4.3,23899.9996185303,5.38218164,6.43879985809326,12.5100002288818,61.57709816,324873.25,367497.13,1882326.16
"Tanzania","TZA","Sub-Saharan Africa","Lower middle income",2006,55.119,25.9,6050.00019073486,7.59827995,3.00991988182068,3.29999995231628,12.14439713,1236697.2,20873666.83,6456703.85
"Ukraine","UKR","Europe & Central Asia","Lower middle income",2006,68.0775609756098,2.5,303989.990234375,6.41695166,5.97945976257324,6.80999994277954,44.76659008,3171282.44,1631872.71,18947507.28
"Albania","ALB","Europe & Central Asia","Upper middle income",2007,75.646,8.3,4139.9998664856,6.31683397,3.27592992782593,15.9700002670288,42.8911399,86920.57,83150.85,548036.71
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2007,74.787,3.3,162809.997558594,7.83455086,4.46260023117065,8.47000026702881,49.32598106,1366995.79,1485470.99,8478942.88
"Armenia","ARM","Europe & Central Asia","Upper middle income",2007,72.815,6.9,5199.99980926514,5.49814558,3.01893997192383,9.8100004196167,49.52207905,92994.89,98901.2,796328.81
"Australia","AUS","East Asia & Pacific","High income",2007,81.2926829268293,2.5,385750,8.06755352,4.65621995925903,4.38000011444092,61.68963157,631511.69,208465.56,4417087.59
"Austria","AUT","Europe & Central Asia","High income",2007,80.180487804878,2.5,71239.9978637695,9.53209686,5.14690017700195,4.8600001335144,99.6570275,229374.53,75609.67,2105388.2
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2007,69.752,2.5,27629.9991607666,1.99021435,2.5492799282074,6.32999992370605,24.18673445,236193.72,761497.67,2039977.68
"Bangladesh","BGD","South Asia","Lower middle income",2007,68.648,13.9,37990.0016784668,2.55897784,2.20221996307373,4.1269998550415,25.22124717,4686057.82,21540422.9,23370455.66
"Bulgaria","BGR","Europe & Central Asia","Upper middle income",2007,72.6634146341463,4.6,52599.9984741211,6.16035938,3.68264007568359,6.88000011444092,50.04006087,324972.42,155765.94,3082500.26
"Belarus","BLR","Europe & Central Asia","Upper middle income",2007,70.2073170731707,2.5,57650.0015258789,5.69203281,5.15210008621216,7.6729998588562,81.72436819,721860.14,206641.27,3437233.81
"Brazil","BRA","Latin America & Caribbean","Upper middle income",2007,72.618,5.6,352559.997558594,8.20183945,4.97425985336304,8.32999992370605,38.64646748,9453478.41,12060437.97,39704780.08
"Central African Republic","CAF","Sub-Saharan Africa","Low income",2007,45.636,35.7,239.999994635582,4.7185154,1.31332004070282,5.60599994659424,18.29993339,349759.6,3726123.03,843435.05
"Canada","CAN","North America","High income",2007,80.5439024390244,2.5,571630.004882813,9.44500446,4.7664098739624,6.03999996185303,79.67517216,841423.64,405252.93,7124385.41
"Switzerland","CHE","Europe & Central Asia","High income",2007,81.7414634146342,2.5,43540.0009155273,9.36357594,4.55798006057739,3.65000009536743,99.61664303,226343.72,77606.33,1759521.51
"Chile","CHL","Latin America & Caribbean","High income",2007,78.099,3.1,64569.9996948242,6.17537546,3.21378993988037,8.43000030517578,57.98429897,516372.75,297566.44,3069732.77
"China","CHN","East Asia & Pacific","Upper middle income",2007,73.553,5,6993180.17578125,3.67491436,2.70000004768372,4.34999990463257,26.41296376,43066216.76,31271371.72,283973107.4
"Colombia","COL","Latin America & Caribbean","Upper middle income",2007,74.732,11,59180.0003051758,6.49102831,4.08301019668579,10.25,16.31305899,2386381.59,1921516,6732398.97
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income",2007,78.362,3.8,7599.99990463257,6.99642754,4.6345100402832,4.48999977111816,37.12573148,115360.52,92990.26,634773.72
"Cuba","CUB","Latin America & Caribbean","Upper middle income",2007,78.019,2.5,27680.0003051758,10.96749115,11.8682098388672,1.78999996185303,38.91853778,315720.64,237102.21,2470609.2
"Cyprus","CYP","Europe & Central Asia","High income",2007,78.91,6.9,8310.0004196167,5.35744858,6.28082990646362,3.92000007629395,76.38323768,27914.24,10669.77,223212.17
"Germany","DEU","Europe & Central Asia","High income",2007,79.5341463414634,2.5,783799.987792969,10.05104923,4.36679983139038,8.65999984741211,96.20450442,1861366.62,915349.45,22916105.34
"Djibouti","DJI","Middle East & North Africa","Lower middle income",2007,58.719,25.1,469.999998807907,3.41498637,8.40625,27.4440002441406,27.33966721,30021.41,308370.02,124591.38
"Denmark","DNK","Europe & Central Asia","High income",2007,78.1951219512195,2.5,53409.9998474121,9.3251543,7.61560010910034,3.79999995231628,86.8021387,129753.19,74762.76,1479156.4
"Algeria","DZA","Middle East & North Africa","Lower middle income",2007,73.936,5.9,102750,3.8214159,4.96000003814697,13.789999961853,20.3548293,1340810.58,1923742.87,5916938.5
"Spain","ESP","Europe & Central Asia","High income",2007,80.8731707317073,2.5,354679.992675781,7.9183569,4.25404977798462,8.22999954223633,93.95387551,1049541.24,566827.5,10674132.2
"Estonia","EST","Europe & Central Asia","High income",2007,72.8146341463415,2.5,19979.9995422363,4.98330879,4.61990976333618,4.59000015258789,92.63976233,75358.86,23872.72,447626.83
"Ethiopia","ETH","Sub-Saharan Africa","Low income",2007,58.467,35,5960.00003814697,5.00128365,5.45112991333008,2.43499994277954,3.818593969,3082036.09,36988493.05,11102211.98
"Finland","FIN","Europe & Central Asia","High income",2007,79.2634146341464,2.5,65099.9984741211,8.08359337,5.67125988006592,6.84999990463257,81.78782858,217567.67,45055.17,1363762.9
"United Kingdom","GBR","Europe & Central Asia","High income",2007,79.4487804878049,2.5,530500,8.7854166,4.90883016586304,5.26000022888184,97.8502224,1248457.67,1040437.69,16154797.37
"Georgia","GEO","Europe & Central Asia","Upper middle income",2007,70.765,4,5630.00011444092,7.4351778,2.69687008857727,13.2799997329712,43.0068027,141254.59,145433.15,1340657.21
"Ghana","GHA","Sub-Saharan Africa","Lower middle income",2007,59.741,9.4,9119.99988555908,3.81368589,5.51986980438232,4.84299993515015,7.218545628,730461.34,8672212.31,3776452.79
"Croatia","HRV","Europe & Central Asia","High income",2007,75.7056097560976,2.5,22879.9991607666,7.47507524,3.9408700466156,9.90999984741211,78.28044247,179945.4,60120.34,1335198.69
"Hungary","HUN","Europe & Central Asia","High income",2007,73.1512195121951,2.5,53849.9984741211,7.21529293,5.13345003128052,7.40999984741211,69.57845454,425186.86,131835.51,3514453.65
"Ireland","IRL","Europe & Central Asia","High income",2007,79.6414634146341,2.5,46360.0006103516,7.80535555,4.71541023254395,4.98000001907349,65.12448024,102364.98,51089.67,925272.98
"Iceland","ISL","Europe & Central Asia","High income",2007,81.4536585365854,2.5,2380.00011444092,8.3535862,6.9443302154541,2.25,56.30002491,6317.37,3222.46,59294.44
"Israel","ISR","Middle East & North Africa","High income",2007,80.5048780487805,2.5,66599.9984741211,6.88173389,5.49595022201538,9.38000011444092,85.12284793,162660.11,94280.12,1287758.14
"Italy","ITA","Europe & Central Asia","High income",2007,81.4341463414634,2.5,459369.995117188,8.13610077,4.10503005981445,6.07999992370605,95.67542043,1198462.94,588243.55,15598716.42
"Jordan","JOR","Middle East & North Africa","Upper middle income",2007,72.931,6.1,21090.0001525879,8.04956055,5.03999996185303,13.1000003814697,77.58259172,139999.15,262102.31,870565.04
"Japan","JPN","East Asia & Pacific","High income",2007,82.5070731707317,2.5,1225069.94628906,7.77935696,3.27934002876282,3.89000010490417,76.09041232,3630511.52,2001858.99,29429010.82
"Kuwait","KWT","Middle East & North Africa","High income",2007,73.807,2.5,70599.9984741211,1.92673659,2.57999992370605,1.5,100,61729.44,49290.34,349243.87
"Lebanon","LBN","Middle East & North Africa","Lower middle income",2007,77.609,9.9,15039.999961853,8.55978775,2.58357000350952,8.97999954223633,11.5352286,94995.25,146245.49,869211.06
"Lithuania","LTU","Europe & Central Asia","High income",2007,70.9,2.5,13210.000038147,5.7643218,4.59521007537842,4.25,82.80898258,267123.49,71090.96,1144571.25
"Latvia","LVA","Europe & Central Asia","High income",2007,71.019512195122,2.5,8529.99973297119,5.52228498,4.63328981399536,6.05000019073486,55.95503738,147609.97,49567.88,827400.31
"Madagascar","MDG","Sub-Saharan Africa","Low income",2007,62.079,30.5,1720.00002861023,4.49428749,2.90274000167847,3.26099991798401,5.985452403,507386.21,7184699.43,3051358.23
"Mexico","MEX","Latin America & Caribbean","Upper middle income",2007,75.255,4.1,457119.995117188,5.76644516,4.69050979614258,3.63000011444092,27.90436423,3787650.04,4738184.42,18918541.87
"Malta","MLT","Middle East & North Africa","High income",2007,79.7926829268293,2.5,2720.00002861023,8.16883469,5.94750022888184,6.46999979019165,91.86797469,8816.52,5432.75,96466.41
"Mongolia","MNG","East Asia & Pacific","Lower middle income",2007,65.985,25.2,13020.0004577637,4.07522488,4.69013023376465,7.19999980926514,38.53683494,173040.83,236644,647016.4
"Malaysia","MYS","East Asia & Pacific","Upper middle income",2007,73.931,3.6,189940.002441406,3.07041144,4.37253999710083,3.23000001907349,67.05976743,707622.01,1011554.73,4181286.32
"Netherlands","NLD","Europe & Central Asia","High income",2007,80.0975609756098,2.5,164550.003051758,9.05291939,4.88682985305786,4.15000009536743,97.45570268,303740.03,215824.98,3823010.17
"Norway","NOR","Europe & Central Asia","High income",2007,80.3951219512195,2.5,37750,8.05085373,6.53439998626709,2.49000000953674,60.91337053,120550.45,58426.57,1105408.8
"Nepal","NPL","South Asia","Lower middle income",2007,66.26,14.9,2690.00005722046,3.66484332,3.51721000671387,1.3309999704361,21.33067004,837697.92,4816573.83,4364858.77
"New Zealand","NZL","East Asia & Pacific","High income",2007,80.1512195121951,2.5,33270.0004577637,8.32904434,5.91965007781982,3.66000008583069,78.27135782,153207.04,45126.28,880299.04
"Peru","PER","Latin America & Caribbean","Upper middle income",2007,73.528,13.7,33810.001373291,4.42612123,2.62940001487732,4.03999996185303,23.44769305,872326.75,1892737.62,3930998.4
"Philippines","PHL","East Asia & Pacific","Lower middle income",2007,69.37,12.1,73220.0012207031,3.75318241,2.48517990112305,3.4300000667572,46.22159537,2751886.32,9591755.14,15813250.92
"Poland","POL","Europe & Central Asia","High income",2007,75.2439024390244,2.5,313380.004882813,5.87339211,4.86874008178711,9.60000038146973,83.71876075,1679473.79,579501.59,10501484.66
"Portugal","PRT","Europe & Central Asia","High income",2007,78.3219512195122,2.5,58799.9992370605,9.25186634,4.92147016525269,7.96000003814697,59.94185902,274651.96,211444.21,2862216.03
"Paraguay","PRY","Latin America & Caribbean","Upper middle income",2007,72.055,9.4,3720.00002861023,5.02042675,2.73951005935669,4.71000003814697,50.22657678,198851.75,321995.38,911119.36
"Romania","ROU","Europe & Central Asia","High income",2007,72.5658536585366,2.5,96730.0033569336,5.02223349,4.14953994750977,6.40999984741211,56.93866008,859718.22,534077.86,6579820.26
"Sierra Leone","SLE","Sub-Saharan Africa","Low income",2007,46.52,41.7,500,10.03516197,2.55851006507874,3.78800010681152,10.59521368,272984.03,4128718.05,1126324.99
"Serbia","SRB","Europe & Central Asia","Upper middle income",2007,73.6317073170732,2.5,51459.9990844727,9.37001324,4.20983982086182,18.0599994659424,20.44313655,323246.04,146829.7,3080110.06
"Sao Tome and Principe","STP","Sub-Saharan Africa","Lower middle income",2007,65.854,9.8,79.9999982118607,8.1677618,6.28682994842529,16.2339992523193,20.22075438,4698.14,28289.04,27384.36
"Slovenia","SVN","Europe & Central Asia","High income",2007,78.5609756097561,2.5,16280.0006866455,7.51139164,5.11661005020142,4.82000017166138,40.0985181,100177.2,24249.49,502874.93
"Sweden","SWE","Europe & Central Asia","High income",2007,80.9,2.5,47139.9993896484,7.99607706,6.17158985137939,6.15999984741211,93.4699943,235573.5,95496.19,2264876.49
"Togo","TGO","Sub-Saharan Africa","Low income",2007,55.581,26.2,1500,3.86664653,3.51062989234924,3.80299997329712,6.806524365,214250.79,2938443.97,880980.18
"Thailand","THA","East Asia & Pacific","Upper middle income",2007,72.916,10.2,224589.996337891,3.19277525,3.60314989089966,1.17999994754791,21.51336084,3032515.3,3034923.48,12750627.31
"Tunisia","TUN","Middle East & North Africa","Lower middle income",2007,74.558,4,24750,5.42856932,6.46451997756958,12.3599996566772,62.94589104,322211.26,355679.68,1911537.38
"Tanzania","TZA","Sub-Saharan Africa","Lower middle income",2007,55.926,25.7,5909.99984741211,6.8842783,4.03342008590698,3.02999997138977,13.40593143,1258273.87,19961897.5,6654043.83
"Ukraine","UKR","Europe & Central Asia","Lower middle income",2007,68.2221951219512,2.5,312140.014648438,6.01705217,5.90244007110596,6.34999990463257,45.2526706,3172920.11,1688969.75,19256047.94
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2008,74.952,3.3,167229.995727539,8.18266869,4.84440994262695,7.84000015258789,49.54076879,1394355.56,1486938.26,8473323.55
"Armenia","ARM","Europe & Central Asia","Upper middle income",2008,72.946,5.6,5690.00005722046,6.6397624,3.17272996902466,14.3929996490479,50.96552269,91654.04,97242.98,803568.89
"Australia","AUS","East Asia & Pacific","High income",2008,81.3951219512195,2.5,388940.002441406,8.25585651,4.63278007507324,4.23000001907349,62.65654409,642859.89,206764.59,4482245.07
"Austria","AUT","Europe & Central Asia","High income",2008,80.4317073170732,2.5,70730.0033569336,9.72564602,5.26395988464355,4.13000011444092,99.6529915,227424.14,74647.17,2106358.2
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2008,70.201,2.5,30450.0007629395,1.93880892,2.44092988967896,5.8600001335144,24.39743142,237996.51,740106.62,2083159.54
"Belgium","BEL","Europe & Central Asia","High income",2008,79.680487804878,2.5,106930.000305176,9.63002014,6.33294010162354,6.98000001907349,78.25042552,400714.03,166386.44,2716003.31
"Bangladesh","BGD","South Asia","Lower middle income",2008,69.072,13.6,41580.0018310547,2.48848343,2.0545699596405,4.56699991226196,26.29209359,4219100.61,20461453.34,23566513.58
"Bulgaria","BGR","Europe & Central Asia","Upper middle income",2008,72.9634146341463,4.5,50040.0009155273,6.28771019,4.2223801612854,5.6100001335144,49.91346259,317066.96,152823.66,3033234.88
"Brazil","BRA","Latin America & Caribbean","Upper middle income",2008,72.966,5.1,373630.004882813,8.01129246,5.26883983612061,7.34000015258789,39.0528122,9589985.22,11820504.17,40234424.92
"Central African Republic","CAF","Sub-Saharan Africa","Low income",2008,46.161,33.3,170.000001788139,4.08699083,1.29000997543335,5.46999979019165,17.91349252,341555.83,3686621.06,856832.82
"Canada","CAN","North America","High income",2008,80.6951219512195,2.5,550469.970703125,9.60709858,4.62612009048462,6.1399998664856,80.06894984,847312.52,408878.58,7220010.16
"Switzerland","CHE","Europe & Central Asia","High income",2008,81.9926829268293,2.5,44959.9990844727,9.48092747,4.73192977905273,3.34999990463257,99.61691804,223409.32,77615.11,1772613.14
"Chile","CHL","Latin America & Caribbean","High income",2008,78.33,3.4,67989.9978637695,6.74047899,3.79242992401123,9.28999996185303,59.59664186,522250.6,295906.84,3086510.5
"China","CHN","East Asia & Pacific","Upper middle income",2008,73.835,4,7199600.09765625,3.90000153,3.63000011444092,4.59000015258789,29.25110684,47122059.48,29827825.45,286177971
"Colombia","COL","Latin America & Caribbean","Upper middle income",2008,74.962,11.3,59779.9987792969,6.84192705,3.9387800693512,10.4899997711182,16.47317865,2365463.5,1836358.28,6847626.79
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income",2008,78.491,3.9,7519.99998092651,7.46854544,4.88697004318237,4.78000020980835,36.4355323,119663.22,91336.9,654683.52
"Cuba","CUB","Latin America & Caribbean","Upper middle income",2008,78.15,2.5,26750,11.31422806,14.0590801239014,1.58000004291534,38.60224872,315893.54,238128.32,2512960.34
"Cyprus","CYP","Europe & Central Asia","High income",2008,79.071,6.4,8489.99977111816,6.01427698,6.72276020050049,3.65000009536743,76.43232884,27402.6,10652.64,225320.45
"Germany","DEU","Europe & Central Asia","High income",2008,79.7365853658537,2.5,789690.002441406,10.25105095,4.43594980239868,7.51999998092651,96.29508283,1853545.42,921391.43,22968766.05
"Denmark","DNK","Europe & Central Asia","High income",2008,78.4463414634146,2.5,50130.0010681152,9.51134396,7.47604990005493,3.6800000667572,87.25315654,127265.2,74767.94,1469879.78
"Algeria","DZA","Middle East & North Africa","Lower middle income",2008,74.311,5.6,107750,4.20188379,4.33701992034912,11.3299999237061,20.1856446,1306605.92,1903289.33,6011211.82
"Spain","ESP","Europe & Central Asia","High income",2008,81.1756097560976,2.5,324269.989013672,8.3818779,4.52805995941162,11.25,94.14448165,1031307.51,563113.92,10756770.07
"Estonia","EST","Europe & Central Asia","High income",2008,73.7707317073171,2.5,18399.9996185303,5.71032381,5.48403978347778,5.44999980926514,92.66013164,66575.49,22466.14,427784.42
"Ethiopia","ETH","Sub-Saharan Africa","Low income",2008,59.581,33.5,6489.99977111816,4.28063917,5.40819978713989,2.40599989891052,4.063969302,3020285.75,35060164.26,11164764.8
"Finland","FIN","Europe & Central Asia","High income",2008,79.5682926829268,2.5,56659.9998474121,8.34310627,5.83010005950928,6.36999988555908,82.04472889,212977.4,43164.81,1369732.99
"United Kingdom","GBR","Europe & Central Asia","High income",2008,79.6,2.5,515340.026855469,9.06439972,4.88497018814087,5.61999988555908,97.87606129,1247804.84,1032945.39,16173966.93
"Georgia","GEO","Europe & Central Asia","Upper middle income",2008,70.946,3.6,4840.00015258789,8.44467163,2.9195499420166,17.8700008392334,42.29247153,182084.82,142683.38,1338675.08
"Ghana","GHA","Sub-Saharan Africa","Lower middle income",2008,60.216,8.2,8659.99984741211,3.89917445,5.75795984268188,4.99200010299683,7.69099721,722477.84,8607128.97,3835660.3
"Croatia","HRV","Europe & Central Asia","High income",2008,75.9121951219512,2.5,21729.9995422363,7.72871161,4.25213003158569,8.52999973297119,78.33935053,179791.1,57121.5,1348905.35
"Hungary","HUN","Europe & Central Asia","High income",2008,73.7024390243903,2.5,53009.9983215332,7.09688091,4.96611022949219,7.82000017166138,71.35379277,408120.39,128387.73,3430593.46
